"BILLION CUBIC FEET PER DAY",1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006
"EG",NA,NA,NA,NA,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.2,0.2,0.2,0.3,0.3,0.4,0.5,0.5,0.6,0.6,0.7,0.8,0.8,1.0,1.0,1.1,1.1,1.1,1.2,1.4,1.8,2.1,2.2,2.4,2.6,3.4,4.3
"LY",NA,NA,NA,NA,NA,0.0,0.1,0.3,0.4,0.3,0.4,0.4,0.5,0.5,0.5,0.5,0.3,0.3,0.3,0.4,0.5,0.5,0.4,0.5,0.6,0.5,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.5,0.5,0.5,0.5,0.6,0.6,1.1,1.4
"NG",NA,NA,NA,NA,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.5,0.4,0.5,0.5,0.5,0.5,0.6,1.2,1.4,1.4,1.9,2.2,2.2,2.7
"BP_08",NA,NA,NA,NA,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.3,0.3,0.3,0.4,0.5,0.5,0.6,0.6,0.7,0.7,0.8,0.8,0.8,0.8
"BP_09",NA,NA,NA,NA,NA,0.3,0.4,0.7,0.9,0.9,1.1,1.3,1.4,1.8,2.6,2.2,2.5,3.0,4.0,4.1,4.5,4.9,5.3,5.6,6.2,6.5,7.0,7.3,7.7,7.3,8.1,8.6,9.6,10.1,11.3,12.2,12.3,12.6,13.6,14.1,15.9,17.5
"AU",NA,NA,NA,NA,NA,0.2,0.3,0.4,0.5,0.5,0.6,0.7,0.8,0.8,0.9,1.1,1.2,1.1,1.2,1.2,1.3,1.4,1.5,1.5,1.7,2.0,2.1,2.3,2.4,2.7,2.9,2.9,2.9,2.9,3.0,3.0,3.1,3.2,3.2,3.4,3.6,3.8
"BD",NA,NA,NA,NA,NA,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.3,0.3,0.4,0.4,0.5,0.5,0.5,0.6,0.6,0.6,0.7,0.7,0.7,0.8,0.8,1.0,1.0,1.1,1.2,1.3,1.4,1.5
"BN",NA,NA,NA,NA,NA,0.0,0.0,0.0,0.2,0.4,0.5,0.7,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.9,0.8,0.8,0.8,0.9,0.8,0.9,0.9,0.9,1.0,1.0,1.1,1.1,1.1,1.0,1.1,1.1,1.1,1.1,1.2,1.1,1.1,1.2
"CN",NA,NA,NA,NA,NA,0.3,0.3,0.4,0.5,0.7,0.8,0.9,1.1,1.2,1.3,1.3,1.1,1.1,1.1,1.1,1.2,1.2,1.3,1.3,1.4,1.5,1.5,1.5,1.6,1.7,1.7,1.9,2.2,2.3,2.4,2.6,2.9,3.2,3.4,4.0,4.8,5.7
"IN",NA,NA,NA,NA,NA,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.3,0.3,0.4,0.4,0.6,0.7,0.8,1.0,1.2,1.3,1.5,1.5,1.6,1.9,2.0,2.2,2.4,2.5,2.6,2.6,2.8,2.9,3.0,3.1,3.1
