title         = ASCII CSV version of Natural Gas consumption data from the 2010 British Petroleum Statistical Review (worksheet 23)
file URL      = http://mazamascience.com/OilExport/BP_2010_gas_consumption_ft3.csv
original data = http://www.bp.com/liveassets/bp_internet/globalbp/globalbp_uk_english/reports_and_publications/statistical_energy_review_2008/STAGING/local_assets/2010_downloads/Statistical_Review_of_World_Energy_2010.xls
country codes = ISO3166-1 two-letter codes or 'BP_~~~' for special groups (e.g. BP_TNA = Total North America)
units         = billion cubic feet per day

"YEAR",1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
"IS",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"IE",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.2,0.2,0.2,0.2,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.5
"IT",0.8,0.9,0.9,1.0,1.2,1.3,1.3,1.3,1.5,1.7,1.9,2.4,2.3,2.4,2.5,2.5,2.5,2.4,2.4,2.8,2.9,3.1,3.5,3.7,4.0,4.2,4.5,4.4,4.5,4.4,4.8,5.0,5.1,5.5,6.0,6.3,6.3,6.2,6.9,7.1,7.7,7.5,7.5,7.5,6.9
"KZ","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na",0.8,1.0,1.0,1.1,1.1,1.2,1.2,1.3,1.2,1.0,1.0,0.8,0.7,0.7,0.7,0.9,0.9,1.0,1.3,1.4,1.8,2.0,1.9,1.9,1.9
"LT","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na",0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.3,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
"NL",0.1,0.3,0.5,0.8,1.2,1.6,2.1,2.8,3.1,3.3,3.4,3.5,3.6,3.6,3.6,3.2,3.1,3.0,3.2,3.4,3.5,3.5,3.6,3.3,3.4,3.3,3.7,3.6,3.7,3.6,3.7,4.1,3.9,3.8,3.7,3.8,3.9,3.9,3.9,3.9,3.8,3.7,3.6,3.7,3.8
"NO",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.4,0.4,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4
"PL",0.2,0.2,0.2,0.3,0.4,0.6,0.6,0.6,0.7,0.7,0.7,0.8,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,1.0,1.0,1.0,1.0,1.0,1.0,0.9,0.8,0.9,0.9,1.0,1.0,1.0,1.0,1.0,1.1,1.1,1.1,1.1,1.3,1.3,1.3,1.3,1.3,1.3
"PT",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.2,0.2,0.3,0.3,0.4,0.4,0.4,0.4,0.5,0.4
"RO",1.5,1.6,1.8,1.9,2.2,2.2,2.4,2.4,2.6,2.7,2.9,3.2,3.4,3.5,3.4,3.5,3.7,3.7,3.7,3.7,3.4,3.5,3.4,3.4,3.4,3.0,2.4,2.4,2.4,2.3,2.3,2.3,1.9,1.8,1.7,1.7,1.6,1.7,1.8,1.7,1.7,1.8,1.6,1.5,1.3
"RU","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na",33.9,34.3,36.3,38.2,38.8,39.4,40.5,39.1,39.1,36.7,35.5,35.6,32.9,34.2,34.1,34.2,35.4,35.6,37.2,38.0,38.7,39.5,40.8,40.1,37.7
"SK",0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.3,0.4,0.3,0.3,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.6,0.5,0.5,0.5,0.5,0.6,0.6,0.6,0.6,0.6,0.6,0.7,0.6,0.6,0.6,0.6,0.6,0.5,0.6,0.5
"ES",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0.3,0.3,0.4,0.5,0.5,0.6,0.6,0.6,0.7,0.8,0.9,1.2,1.3,1.5,1.6,1.8,2.0,2.3,2.6,3.1,3.3,3.4,3.7,3.3
"SE",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"CH",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
"TR",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.3,0.3,0.4,0.4,0.5,0.5,0.7,0.8,0.9,1.0,1.2,1.4,1.6,1.7,2.0,2.1,2.6,3.0,3.4,3.5,3.1
"TM","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na",0.8,1.3,1.3,1.3,1.4,0.9,0.9,0.9,0.9,1.0,0.8,0.9,0.9,1.0,1.1,1.2,1.2,1.2,1.4,1.4,1.6,1.8,2.1,1.8,1.9
