title         = ASCII CSV version of Natural Gas consumption data from the 2010 British Petroleum Statistical Review (worksheet 22)
file URL      = http://mazamascience.com/OilExport/BP_2010_gas_consumption_m3.csv
original data = http://www.bp.com/liveassets/bp_internet/globalbp/globalbp_uk_english/reports_and_publications/statistical_energy_review_2008/STAGING/local_assets/2010_downloads/Statistical_Review_of_World_Energy_2010.xls
country codes = ISO3166-1 two-letter codes or 'BP_~~~' for special groups (e.g. BP_TNA = Total North America)
units         = billion cubic meters per year

"YEAR",1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
"DZ",0.8,0.8,0.8,0.8,1.1,1.0,1.1,1.3,1.9,2.1,3.0,3.5,3.7,6.0,8.5,11.4,14.8,16.8,18.4,16.1,16.0,17.5,17.9,20.2,19.0,20.3,20.0,20.7,18.6,19.6,21.0,21.6,20.2,20.9,21.3,19.8,20.5,20.2,21.4,22.0,23.2,23.7,24.3,25.4,26.7
"EG",0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.4,0.5,0.7,1.1,2.2,2.4,2.7,3.1,4.0,4.9,5.7,6.3,6.9,7.7,8.1,9.1,9.8,11.3,12.0,12.6,13.0,13.4,13.7,16.4,20.0,24.5,26.5,29.7,31.7,31.6,36.5,38.4,40.8,42.5
"ZA",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"BP_OAF",0.2,0.3,0.3,0.2,0.2,0.6,0.6,1.1,1.7,1.8,2.4,2.4,2.8,3.3,5.8,5.7,6.4,6.0,6.6,6.7,7.8,9.1,9.1,9.8,11.7,11.1,10.6,11.3,11.7,12.0,12.8,14.4,14.4,15.0,15.6,17.4,17.6,18.0,20.4,23.6,24.5,23.9,28.2,29.9,24.8
"BP_TAF",1.0,1.1,1.1,1.1,1.3,1.7,1.8,2.5,3.6,4.0,5.4,6.3,7.0,10.0,15.4,19.3,23.6,25.5,28.1,26.9,28.8,32.3,33.3,36.9,38.4,39.4,39.7,41.8,41.5,43.5,46.4,49.0,48.0,49.5,53.4,57.2,62.6,64.7,71.5,77.4,79.4,84.1,90.8,96.1,94.0
"AU",0.0,0.0,0.0,0.0,0.4,1.7,2.6,3.7,4.7,5.4,5.8,6.8,7.8,8.4,9.7,11.1,12.1,11.8,12.8,12.6,13.5,14.7,15.0,15.4,16.8,16.9,16.2,16.8,17.4,19.3,19.5,19.7,19.3,19.8,20.2,20.5,22.0,22.4,22.4,22.8,21.9,24.0,25.7,25.5,25.7
"BD",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.6,0.6,0.6,0.8,0.9,1.0,1.2,1.3,1.6,1.9,2.2,2.5,2.8,3.2,3.8,4.3,4.7,4.8,5.3,5.7,6.1,6.6,7.4,7.6,7.6,7.8,8.3,10.0,10.7,11.4,12.3,13.2,14.5,15.3,16.3,17.9,19.7
"CN",1.1,1.3,1.5,1.4,2.0,2.9,3.7,4.8,6.0,7.5,8.8,10.1,12.1,13.7,14.5,14.3,12.7,11.9,12.2,12.4,12.9,13.8,13.9,14.4,15.0,15.2,15.9,15.9,16.8,17.3,17.7,18.5,19.5,20.3,21.5,24.5,27.4,29.2,33.9,39.7,46.8,56.1,69.5,81.3,88.7
"HK",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1,3.2,3.0,3.3,3.0,3.0,2.9,1.8,2.7,2.7,2.9,2.2,2.6,2.5
"IN",0.2,0.3,0.3,0.4,0.5,0.7,0.7,0.8,0.8,0.9,1.1,1.3,1.4,1.6,2.0,1.2,2.1,2.7,3.2,3.7,4.5,6.3,7.2,8.5,10.1,12.0,13.4,15.0,15.2,16.5,18.8,20.5,22.3,24.5,25.1,26.4,26.4,27.6,29.5,31.9,35.7,37.3,40.1,41.3,51.9
