title         = ASCII CSV version of Electricity Generation data from the 2010 British Petroleum Statistical Review (worksheet 40)
file URL      = http://mazamascience.com/OilExport/BP_2010_electricity_generation.csv
original data = http://www.bp.com/liveassets/bp_internet/globalbp/globalbp_uk_english/reports_and_publications/statistical_energy_review_2008/STAGING/local_assets/2010_downloads/Statistical_Review_of_World_Energy_2010.xls
country codes = ISO3166-1 two-letter codes or 'BP_~~~' for special groups (e.g. BP_TNA = Total North America)
units         = million tonnes per year

"YEAR",1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
"TR","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na",57.5,60.2,67.3,73.8,78.3,86.2,94.9,102.0,110.9,116.6,124.9,122.7,129.4,140.6,150.7,162.0,176.3,191.6,198.4,194.1
"TM","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na",14.6,14.9,13.1,12.6,10.5,9.8,10.1,9.4,9.1,9.0,9.8,11.2,11.2,10.8,11.4,12.8,13.7,14.9,16.5,17.5
"UA","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na",298.5,279.0,252.6,229.9,202.9,194.0,181.7,176.0,171.9,171.0,169.0,171.4,173.7,179.5,182.2,185.0,192.1,195.1,191.7,172.9
"GB","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na",319.7,322.9,321.0,323.1,326.6,337.4,350.9,350.7,362.7,368.2,377.1,384.8,387.2,398.2,393.9,398.3,397.3,397.0,389.6,371.8
"UZ","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na",56.3,54.2,51.0,48.7,47.0,47.4,45.4,46.0,45.9,45.3,46.8,46.6,49.3,48.7,49.6,47.7,49.3,49.0,50.1,50.0
"BP_OEE","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na",185.2,167.6,152.2,141.3,139.7,132.1,142.7,143.2,147.2,143.2,142.2,142.5,141.0,149.8,158.7,159.7,157.9,157.7,155.3,152.8
"BP_TEE","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na",4569.5,4558.1,4448.9,4369.3,4282.9,4336.1,4388.3,4390.3,4454.6,4525.5,4667.1,4761.3,4804.7,4926.7,5037.0,5116.9,5221.3,5300.9,5339.5,5070.0
"IR","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na",57.7,62.8,67.2,74.7,81.0,84.4,88.8,97.0,102.4,110.1,119.3,128.2,138.2,145.7,156.4,169.7,184.3,196.0,206.3,196.5
"KW","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na",18.5,10.8,16.9,20.2,22.8,23.7,25.5,26.7,30.0,31.6,32.9,34.8,36.9,39.8,41.3,43.7,47.6,48.8,51.9,53.0
"QA","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na",4.8,4.7,5.2,5.6,5.8,6.0,6.6,6.9,8.2,8.9,9.1,10.0,10.9,12.0,13.2,14.4,15.3,16.1,18.6,20.4
"SA","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na",70.1,74.6,79.6,87.9,96.9,99.9,103.4,107.3,112.7,120.0,126.2,133.7,141.7,153.0,159.4,175.0,179.8,189.1,202.7,206.8
"AE","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na",17.1,17.4,18.7,21.7,23.7,25.0,26.6,28.5,33.4,37.1,39.9,43.2,46.6,49.5,52.4,60.7,66.8,76.1,82.0,86.1
"BP_OME","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na",71.3,71.1,81.9,86.6,94.7,100.7,107.2,114.2,122.0,126.4,134.1,138.7,146.4,146.0,155.0,160.4,169.3,179.6,187.5,193.5
"BP_TME","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na",239.5,241.3,269.5,296.7,325.0,339.6,358.0,380.5,408.7,434.1,461.6,488.5,520.8,546.0,577.8,623.9,663.0,705.6,749.0,756.3
"DZ","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na",16.1,17.3,18.3,19.4,19.9,19.7,20.7,21.1,23.6,24.8,25.0,26.3,27.4,29.2,30.9,33.6,35.0,37.0,40.0,42.8
"EG","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na",42.9,44.9,46.7,48.3,50.4,53.4,56.6,61.0,65.2,70.7,73.0,80.2,85.7,91.5,97.3,104.0,110.7,119.0,127.9,133.3
"ZA","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na",165.4,168.3,167.8,174.6,182.5,188.1,200.1,210.4,205.4,203.1,210.7,210.1,217.7,234.2,244.6,244.9,253.8,263.5,271.0,259.5
"BP_OAF","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na",92.1,95.8,96.5,98.2,101.7,105.8,108.1,112.0,117.1,124.4,129.5,137.1,150.3,152.4,165.9,177.9,186.4,192.7,198.1,195.4
"BP_TAF","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na",316.5,326.4,329.4,340.5,354.5,367.1,385.4,404.5,411.2,423.0,438.2,453.7,481.1,507.3,538.7,560.5,585.9,612.1,636.9,631.0
"AU","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na",156.0,158.2,161.7,165.6,170.4,175.5,180.4,189.6,199.7,205.6,212.3,221.6,227.2,228.3,237.4,249.0,249.1,250.9,257.7,251.0
"BD","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na",8.3,9.2,9.7,10.2,11.1,12.1,12.8,13.1,14.0,15.2,15.8,17.1,18.6,19.7,21.5,22.6,24.3,24.4,26.0,27.4
"CN","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na",621.2,677.5,753.9,811.6,927.8,1006.6,1081.3,1104.5,1163.5,1197.5,1355.6,1480.8,1654.0,1910.6,2203.3,2500.3,2865.7,3281.6,3494.5,3725.1
"HK","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na",29.0,31.9,35.1,35.9,26.7,27.9,28.4,28.9,31.1,29.5,31.3,32.4,34.3,35.5,37.1,38.4,38.6,38.9,38.0,38.7
"IN","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na",284.2,309.1,328.4,350.4,378.3,409.9,432.1,458.6,489.1,526.6,554.7,574.6,592.2,624.1,657.7,689.6,738.7,797.9,824.5,869.8
"ID","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na",33.3,37.7,41.0,44.4,51.7,58.9,66.7,76.5,77.3,84.3,92.6,101.6,108.2,112.9,120.2,127.4,133.1,142.4,149.4,151.7
"JP","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na",841.1,870.8,876.4,887.2,943.7,968.6,989.3,1014.6,1019.8,1036.8,1057.9,1039.7,1058.3,1082.6,1107.8,1153.1,1164.3,1180.1,1183.7,1115.1
"MY","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na",25.3,28.3,31.9,35.6,40.1,46.6,52.8,58.7,60.5,62.6,66.7,72.3,75.3,84.0,90.7,96.2,100.8,105.0,106.4,106.9
"NZ","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na",32.1,33.4,32.7,34.1,34.9,36.0,36.4,37.2,37.3,37.8,39.3,39.7,40.6,40.8,42.5,43.0,43.6,43.8,43.8,43.5
