title         = ASCII CSV version of Oil Production data from the 2008 British Petroleum Statistical Review (worksheet 5)
file URL      = http://mazamascience.com/OilExport/BP_2008_oil_production_mtoe.csv
original data = http://www.bp.com/liveassets/bp_internet/globalbp/globalbp_uk_english/reports_and_publications/statistical_energy_review_2008/STAGING/local_assets/downloads/spreadsheets/statistical_review_full_report_workbook_2008.xls
country codes = ISO3166-1 two-letter codes or 'BP_~~~' for special groups (e.g. BP_TNA = Total North America)
units         = million tonnes per year

"YEAR",1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007
"LY",58.0,71.7,82.4,123.9,147.7,159.5,130.7,106.8,104.6,73.6,71.5,93.5,99.6,95.6,101.1,88.3,59.1,55.4,54.3,48.2,48.4,50.2,47.3,49.7,54.9,67.2,67.9,69.7,66.1,67.5,67.9,68.6,70.1,69.6,67.0,69.5,67.1,64.6,69.8,76.6,82.1,85.6,86.0
"NG",13.5,20.6,15.7,7.0,26.6,53.4,75.4,89.8,101.3,111.1,87.9,102.3,103.3,93.4,113.6,101.7,70.9,63.5,60.9,68.6,73.8,72.3,66.4,73.5,86.9,91.6,95.9,99.1,98.7,97.1,97.5,105.0,113.2,106.0,100.8,105.4,110.8,102.3,110.3,121.9,125.4,120.0,114.2
"SD",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.2,0.4,0.6,3.1,8.6,10.7,11.9,13.1,14.9,15.0,16.3,22.5
"TN",0.0,0.8,2.2,3.2,3.7,4.2,4.1,4.0,3.9,4.1,4.6,3.7,4.3,4.9,5.5,5.6,5.4,5.1,5.5,5.5,5.4,5.2,5.0,4.9,5.0,4.5,5.2,5.2,4.7,4.4,4.2,4.2,3.8,4.0,4.0,3.7,3.4,3.5,3.2,3.4,3.4,3.3,4.6
"BP_OAF",0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,1.3,1.2,0.9,1.1,1.1,1.7,2.2,2.6,3.0,3.0,3.0,2.7,2.4,1.8,1.8,1.7,1.5,1.7,2.0,2.5,3.0,3.1,3.0,2.7,2.7,2.5,3.0,3.5,3.6,3.5,3.4,4.2
"BP_TAF",106.5,135.4,149.1,191.0,242.7,292.3,273.8,275.1,287.1,264.9,242.5,289.0,303.4,298.0,326.4,300.6,239.4,230.5,233.3,248.8,260.9,260.6,260.2,274.9,296.7,320.9,328.3,335.3,332.0,333.9,339.3,355.9,370.3,363.9,360.0,370.9,374.1,378.1,397.8,440.9,467.1,473.4,488.5
"AU",0.3,0.4,1.0,1.8,2.1,8.2,14.4,15.3,19.2,19.0,20.4,20.9,22.1,21.9,22.0,20.6,20.1,19.8,19.3,25.3,29.2,26.1,27.7,26.3,24.9,28.8,27.3,26.8,25.1,27.0,25.4,26.9,28.8,27.4,26.7,35.3,31.8,31.5,26.6,24.8,24.5,23.4,23.8
"BN",4.0,4.8,5.2,6.1,6.2,6.7,6.4,9.1,11.4,9.7,9.2,10.6,11.1,11.7,12.7,11.7,8.5,8.7,8.7,8.4,8.1,8.0,7.5,7.3,7.2,7.3,7.9,8.8,8.5,8.7,8.5,8.0,7.9,7.6,8.9,9.4,9.9,10.2,10.5,10.3,10.1,10.8,9.5
"CN",11.3,14.6,13.9,16.0,21.7,30.6,39.4,45.7,53.6,64.8,77.1,87.2,93.6,104.0,106.2,106.0,101.2,102.1,106.1,114.6,124.9,130.7,134.1,137.1,137.6,138.3,141.0,142.0,144.0,146.1,149.0,158.5,160.1,160.2,160.2,162.6,164.8,166.9,169.6,174.1,180.8,183.7,186.7
"IN",3.0,4.6,5.7,5.9,6.7,6.8,7.2,7.4,7.2,7.5,8.3,8.7,10.2,11.3,12.8,9.4,15.0,19.9,25.4,28.2,30.2,31.8,30.9,32.7,35.0,34.8,33.1,30.2,29.0,33.3,37.8,36.3,37.3,36.5,36.5,36.1,36.0,37.0,36.9,37.8,36.0,37.0,37.3
