title         = ASCII CSV version of Natural Gas consumption data from the 2008 British Petroleum Statistical Review (worksheet 24)
file URL      = http://mazamascience.com/OilExport/BP_2008_gas_consumption_mtoe.csv
original data = http://www.bp.com/liveassets/bp_internet/globalbp/globalbp_uk_english/reports_and_publications/statistical_energy_review_2008/STAGING/local_assets/downloads/spreadsheets/statistical_review_full_report_workbook_2008.xls
country codes = ISO3166-1 two-letter codes or 'BP_~~~' for special groups (e.g. BP_TNA = Total North America)
units         = million tonnes oil equivalent per year

"YEAR",1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007
"ES",0.0,0.0,0.0,0.0,0.1,0.1,0.4,1.0,1.0,1.3,1.3,1.5,1.4,1.5,1.4,1.8,2.1,2.3,2.5,2.0,2.1,2.5,2.7,3.5,4.5,5.0,5.5,5.9,5.8,6.5,7.5,8.4,11.1,11.8,13.5,15.2,16.4,18.8,21.3,24.7,29.1,30.3,31.6
"SE",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.3,0.4,0.6,0.6,0.6,0.7,0.7,0.7,0.7,0.8,0.7,0.8,0.8,0.7,0.6,0.7,0.7,0.7,0.7,0.9,0.9
"CH",0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.2,0.3,0.5,0.5,0.6,0.7,0.8,0.9,0.9,1.0,1.1,1.2,1.3,1.3,1.4,1.4,1.5,1.6,1.8,1.9,2.0,2.0,2.2,2.4,2.3,2.4,2.4,2.4,2.5,2.5,2.6,2.7,2.8,2.7,2.6
"TR",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.5,1.1,2.8,3.0,3.7,4.1,4.5,4.7,6.1,7.1,8.7,9.2,11.1,13.1,14.4,15.6,18.8,19.9,24.2,27.4,31.6
"TM","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na",7.8,12.6,12.5,12.7,13.1,8.8,8.6,8.4,8.4,9.2,7.2,9.0,9.1,9.2,10.2,11.3,11.6,11.9,13.2,13.9,14.9,17.0,19.7
"UA","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na",80.8,85.3,87.1,92.4,93.4,115.0,109.3,93.2,83.6,73.2,68.6,74.2,66.8,61.9,65.7,65.8,63.8,62.8,61.0,65.9,65.7,60.4,58.2
"GB",0.7,0.7,1.2,2.7,5.3,10.2,16.4,23.3,25.2,30.1,31.6,33.5,35.6,36.9,40.4,40.3,40.9,40.6,42.4,43.4,46.6,47.4,48.7,46.4,45.3,47.2,51.0,50.7,57.8,59.5,63.5,73.9,76.0,79.1,84.2,87.2,86.7,85.6,85.8,87.7,85.4,81.0,82.3
"UZ","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na",29.6,28.5,29.9,29.5,31.1,33.2,33.4,33.6,36.6,37.2,38.1,39.0,40.9,42.3,44.3,42.4,46.0,47.2,42.5,40.3,39.6,38.9,41.1
"BP_OEE",108.2,120.7,132.9,143.6,153.5,168.9,184.7,194.4,211.5,224.3,244.6,269.2,288.4,307.6,326.8,337.2,356.9,385.8,413.7,451.5,19.3,19.7,21.5,24.3,25.9,24.7,21.8,19.5,14.5,12.5,12.4,12.2,13.3,13.2,11.6,12.1,13.3,12.4,12.8,13.8,14.5,14.8,15.1
"BP_TEE",143.9,161.4,181.7,205.7,234.7,270.8,309.3,340.2,377.7,410.2,441.5,483.0,512.2,539.7,571.8,583.6,603.1,627.9,658.6,708.3,757.1,778.0,816.7,842.1,865.0,894.7,904.4,869.4,867.0,829.6,836.4,878.8,842.7,864.3,884.6,912.1,923.0,941.0,963.6,993.8,1015.5,1036.3,1040.1
"IR",6.6,6.9,7.2,7.6,7.9,8.3,8.7,8.4,9.3,11.7,11.1,11.0,9.9,9.1,11.6,6.2,5.1,6.5,9.9,12.2,13.1,13.7,14.4,18.0,20.0,20.4,20.5,22.5,23.9,28.6,31.7,35.0,42.4,46.6,52.5,56.6,63.2,71.3,74.6,84.1,92.1,97.8,100.7
"KW",1.2,1.3,1.4,1.5,1.6,1.8,1.9,2.2,2.5,2.6,2.9,3.5,3.8,4.2,5.6,3.7,4.2,3.3,3.6,3.9,3.8,5.2,4.3,6.2,7.3,3.8,0.5,2.4,4.9,5.4,8.3,8.4,8.3,8.5,7.8,8.6,7.7,7.2,8.2,9.9,11.1,11.6,11.3
"QA",0.1,0.1,0.1,0.5,0.8,0.9,0.9,1.0,1.4,1.2,2.0,1.3,1.4,1.3,3.9,4.7,3.8,4.4,4.3,5.3,5.0,5.2,5.2,5.6,5.3,5.7,6.9,11.4,12.2,12.2,12.2,12.3,13.1,13.3,12.6,8.7,9.9,10.0,11.0,13.5,16.8,17.6,18.4
"SA",0.6,0.7,0.8,1.0,1.2,1.5,1.2,1.4,1.6,2.0,2.4,2.6,3.7,5.1,6.3,8.8,10.2,10.8,10.6,16.4,16.9,22.7,24.1,26.2,26.8,30.2,31.7,34.4,36.0,38.5,38.6,40.0,40.8,42.1,41.6,44.8,48.3,51.0,54.1,59.1,64.1,66.2,68.3
"AE",0.0,0.0,0.4,0.5,0.5,0.8,1.2,1.2,1.6,1.6,1.5,1.7,3.0,3.6,3.9,4.4,5.6,5.9,5.4,7.4,9.1,11.1,12.6,12.8,15.5,15.2,18.3,16.9,17.7,19.5,22.3,24.4,26.1,27.4,28.3,28.3,29.1,32.8,34.1,36.2,37.1,37.5,38.9
"BP_OME",0.7,0.9,0.8,0.9,1.2,1.3,1.6,1.8,2.3,2.6,3.1,3.7,3.3,3.8,4.7,4.0,3.4,4.6,4.8,5.3,6.6,7.5,8.3,10.0,10.7,10.7,10.4,12.0,12.5,13.4,14.5,15.6,17.7,18.5,19.4,19.9,20.5,21.2,21.5,24.7,27.9,31.5,31.8
