title         = ASCII CSV version of Natural Gas production data from the 2008 British Petroleum Statistical Review (worksheet 21)
file URL      = http://mazamascience.com/OilExport/BP_2008_gas_production_mtoe.csv
original data = http://www.bp.com/liveassets/bp_internet/globalbp/globalbp_uk_english/reports_and_publications/statistical_energy_review_2008/STAGING/local_assets/downloads/spreadsheets/statistical_review_full_report_workbook_2008.xls
country codes = ISO3166-1 two-letter codes or 'BP_~~~' for special groups (e.g. BP_TNA = Total North America)
units         = million tonnes oil equivalent per year

"YEAR",1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007
"AE","na","na","na","na","na",0.8,1.3,1.3,1.6,1.6,1.5,1.7,3.5,5.1,5.5,6.8,8.0,8.6,7.5,9.9,11.9,13.7,15.2,15.6,18.3,18.1,21.4,20.0,20.7,23.2,28.2,30.4,32.7,33.4,34.6,34.5,35.4,39.1,40.3,41.7,42.3,42.7,44.3
"BP_OME","na","na","na","na","na",0.8,0.9,0.9,0.9,0.8,1.2,1.7,1.1,1.1,1.6,1.3,0.7,0.7,0.5,0.6,0.8,1.4,3.4,5.1,5.9,3.7,1.7,2.2,2.5,3.1,3.1,3.1,3.0,2.9,3.1,3.1,2.7,2.4,1.6,3.0,4.0,5.1,4.9
"BP_TME","na","na","na","na","na",17.9,19.9,22.6,25.4,28.6,30.0,30.5,32.6,34.9,42.2,33.9,35.0,38.3,41.1,53.0,57.2,68.5,73.8,84.0,92.0,91.1,94.0,102.6,110.6,121.3,134.0,142.2,157.9,165.6,174.4,186.1,202.3,220.2,233.9,261.7,285.8,305.1,320.2
"DZ","na","na","na","na","na",2.3,2.4,3.0,4.0,4.7,5.8,7.2,6.9,10.8,17.6,12.8,15.2,19.7,28.5,28.3,30.8,32.8,37.0,38.7,41.8,44.3,47.9,49.8,50.5,46.5,52.8,56.1,64.6,68.9,77.4,76.0,70.4,72.3,74.5,73.8,79.4,76.0,74.7
"EG","na","na","na","na","na",0.1,0.1,0.1,0.1,0.0,0.0,0.1,0.3,0.6,0.8,1.6,1.8,2.0,2.4,3.0,3.7,4.3,4.8,5.4,5.9,6.1,7.0,7.6,9.0,9.5,9.9,10.4,10.5,11.0,13.2,16.5,19.3,20.4,22.5,24.2,31.2,40.2,41.9
"LY","na","na","na","na","na",0.0,1.3,2.9,3.4,3.1,3.9,4.0,4.2,4.3,4.3,4.3,3.2,2.8,3.1,3.8,4.2,4.6,4.1,4.5,5.6,5.1,5.3,5.5,5.2,5.2,5.2,5.2,5.4,5.2,4.2,4.8,5.0,5.1,5.2,5.6,10.2,13.3,13.7
"NG","na","na","na","na","na",0.1,0.2,0.2,0.4,0.4,0.3,0.6,0.8,0.9,1.2,1.5,2.2,2.3,2.6,2.5,2.4,2.8,2.7,3.3,3.8,3.6,3.5,3.8,4.4,4.0,4.3,4.9,4.6,4.6,5.4,11.3,13.4,12.8,17.3,20.5,20.2,25.6,31.5
"BP_OAF","na","na","na","na","na",0.1,0.1,0.2,0.3,0.4,0.4,0.4,0.4,0.5,0.6,0.6,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.8,0.8,1.0,1.0,1.0,2.4,2.6,2.7,3.4,4.4,4.5,5.1,5.6,6.0,6.7,6.4,7.1,8.1,8.3,9.6
"BP_TAF","na","na","na","na","na",2.6,4.1,6.4,8.2,8.6,10.4,12.4,12.7,17.1,24.6,20.8,23.1,27.6,37.2,38.3,41.9,45.2,49.3,52.6,57.8,60.2,64.7,67.7,71.4,67.8,75.0,80.0,89.5,94.3,105.4,114.1,114.2,117.2,125.9,131.2,149.0,163.4,171.3
"AU","na","na","na","na","na",1.6,2.3,3.4,4.3,4.9,5.2,6.2,7.0,7.6,8.7,10.0,10.9,10.6,11.5,11.3,12.1,13.2,13.5,13.8,16.0,18.7,19.5,21.1,22.1,25.3,26.8,26.8,26.8,27.3,27.7,28.0,29.2,29.3,29.9,31.7,33.4,35.0,36.0
"BD","na","na","na","na","na",0.0,0.4,0.4,0.5,0.6,0.6,0.8,0.8,0.9,1.1,1.2,1.5,1.7,2.0,2.3,2.6,2.9,3.4,3.8,4.2,4.3,4.8,5.2,5.5,6.0,6.6,6.8,6.8,7.0,7.5,9.0,9.7,10.3,11.1,11.9,13.1,13.8,14.6
"BN","na","na","na","na","na",0.2,0.2,0.4,1.8,3.8,5.0,6.6,7.5,7.4,7.7,7.8,7.5,7.5,7.8,7.9,7.7,7.8,7.7,8.0,7.9,8.0,8.2,8.8,9.3,9.4,10.6,10.5,10.5,9.7,10.1,10.2,10.3,10.3,11.1,11.0,10.8,11.3,11.0
"CN","na","na","na","na","na",2.6,3.4,4.4,5.4,6.8,8.0,9.1,10.9,12.4,13.1,12.8,11.5,10.7,11.0,11.2,11.6,12.4,12.5,12.8,13.5,13.8,13.9,14.2,15.1,15.8,16.2,18.1,20.4,21.0,22.7,24.5,27.3,29.4,31.5,37.3,44.4,52.7,62.4
"IN","na","na","na","na","na",0.6,0.6,0.7,0.7,0.8,1.0,1.2,1.3,1.4,1.8,1.1,1.8,2.4,2.9,3.3,4.0,5.6,6.5,7.6,9.1,10.8,12.1,13.5,13.7,14.8,16.9,18.5,20.1,22.0,22.6,23.7,23.8,24.8,26.6,26.3,26.7,26.4,27.2
"ID","na","na","na","na","na",1.1,1.1,1.1,0.7,1.0,2.1,2.1,5.1,9.8,14.2,16.7,16.9,17.2,19.6,26.4,29.1,30.2,32.3,35.3,37.1,39.5,43.4,46.0,47.7,54.4,54.6,57.6,59.1,58.1,63.0,59.1,58.1,63.6,65.5,65.5,61.8,62.4,60.1
"MY","na","na","na","na","na",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,6.8,9.2,12.6,14.0,14.8,15.7,16.0,18.3,20.5,22.4,23.5,26.0,30.3,34.8,34.6,36.8,40.7,42.2,43.5,46.6,48.5,54.0,54.2,54.5
"MM","na","na","na","na","na",0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.3,0.4,0.4,0.5,0.6,0.8,1.0,1.1,0.9,1.0,0.8,0.8,0.8,1.0,1.3,1.5,1.4,1.4,1.6,1.5,3.1,6.5,7.6,8.6,9.2,11.7,12.1,13.2
"NZ","na","na","na","na","na",0.0,0.1,0.2,0.3,0.3,0.3,0.8,1.3,1.2,0.8,0.8,0.9,1.7,1.8,2.4,3.0,3.6,3.5,3.8,3.9,3.9,4.2,4.5,4.4,4.1,3.9,4.4,4.7,4.2,4.8,5.1,5.3,5.1,3.9,3.5,3.2,3.3,3.6
"PK","na","na","na","na","na",3.1,3.1,2.9,3.3,3.7,4.5,4.7,5.2,5.3,5.9,7.3,8.0,8.8,8.7,9.0,9.3,10.0,10.7,11.3,12.1,12.9,13.6,14.0,15.6,16.0,16.5,17.7,17.8,18.1,20.0,20.5,21.1,20.6,22.7,24.7,27.2,27.4,27.7
"TH","na","na","na","na","na",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.2,1.4,2.1,2.8,3.3,4.5,5.6,5.4,5.9,7.3,7.8,8.7,9.7,10.2,11.8,14.5,15.8,17.3,18.2,17.7,18.5,19.6,20.1,21.3,21.9,23.3
"VN","na","na","na","na","na",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.2,0.2,0.1,0.3,0.5,0.8,1.2,1.4,1.8,2.2,2.1,3.7,6.2,6.3,6.9
"BP_OAP","na","na","na","na","na",4.8,5.5,5.9,6.1,6.3,6.2,6.1,6.4,6.2,5.8,6.1,5.6,5.3,5.5,5.7,5.7,5.5,5.6,5.8,3.3,3.1,2.9,2.9,3.0,3.1,3.1,3.1,3.1,3.1,3.1,3.2,3.4,4.9,6.0,5.8,6.5,9.6,11.8
"BP_TAP","na","na","na","na","na",14.1,16.8,19.4,23.1,28.2,33.0,37.7,45.8,52.5,59.4,64.0,65.3,67.6,73.1,89.1,98.1,108.2,115.6,123.8,129.3,137.7,149.0,159.3,168.7,183.5,192.9,207.3,220.5,223.3,238.2,246.7,256.3,270.0,285.1,299.2,320.2,336.4,352.3
"BP_WORLD","na","na","na","na","na",917.7,976.5,1021.1,1065.6,1086.4,1088.0,1132.1,1177.5,1216.9,1300.1,1311.7,1336.9,1338.9,1344.2,1463.3,1510.4,1552.1,1629.2,1704.4,1759.7,1801.6,1829.3,1840.2,1873.6,1894.4,1928.7,2014.2,2019.1,2067.0,2119.6,2190.9,2243.6,2282.6,2366.4,2440.7,2506.0,2592.8,2654.1
"BP_EU1","na","na","na","na","na",91.5,111.6,133.8,150.1,166.4,173.3,184.5,187.4,182.6,183.6,177.6,178.4,168.6,171.3,173.4,178.1,171.5,174.0,163.7,164.5,166.2,175.0,174.0,183.9,184.0,190.2,211.0,202.0,200.0,203.1,208.0,209.2,204.6,201.5,205.0,191.0,184.4,172.7
"BP_OECD","na","na","na","na","na",682.1,721.5,750.6,771.4,761.9,729.4,736.0,747.5,750.3,783.7,776.3,770.1,729.3,685.1,730.2,715.4,693.9,721.4,735.6,753.9,771.7,787.4,805.3,832.1,868.8,880.3,924.3,929.9,942.8,948.7,968.3,989.9,979.4,987.3,982.5,967.8,980.3,992.1
"BP_FSU","na","na","na","na","na",166.2,178.3,185.9,198.4,218.8,242.9,269.5,290.5,312.5,341.4,365.4,390.6,420.4,449.7,493.2,539.8,576.1,610.7,646.5,668.4,684.5,680.6,655.5,639.3,604.1,593.8,602.1,564.6,580.1,590.6,607.1,609.6,622.7,651.1,671.2,684.0,702.0,711.2
"BP_EMES","na","na","na","na","na",69.4,76.7,84.6,95.7,105.8,115.7,126.6,139.5,154.1,175.0,170.0,176.2,189.2,209.4,240.0,255.2,282.2,297.1,322.3,337.5,345.4,361.4,379.4,402.2,421.5,454.6,487.8,524.6,544.1,580.3,615.5,644.2,680.5,727.9,787.0,854.2,910.4,950.8
