title         = ASCII CSV version of Natural Gas production data from the 2009 British Petroleum Statistical Review (worksheet 19)
file URL      = http://mazamascience.com/OilExport/BP_2009_gas_production_m3.csv
original data = http://www.bp.com/liveassets/bp_internet/globalbp/globalbp_uk_english/reports_and_publications/statistical_energy_review_2008/STAGING/local_assets/2009_downloads/statistical_review_of_world_energy_full_report_2009.xls
country codes = ISO3166-1 two-letter codes or 'BP_~~~' for special groups (e.g. BP_TNA = Total North America)
units         = billion cubic meters per year

"YEAR",1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
"EG","na","na","na","na","na",0.1,0.1,0.1,0.1,0.1,0.0,0.4,0.5,0.7,1.1,2.2,2.4,2.7,3.1,4.0,4.9,5.7,6.3,6.9,7.7,8.1,9.1,9.8,11.3,12.1,12.5,13.3,13.6,14.0,16.8,21.0,25.2,27.3,30.1,33.0,42.5,54.7,55.7,58.9
"LY","na","na","na","na","na",0.0,1.4,3.2,3.8,3.5,4.6,4.8,5.0,5.1,6.8,5.2,3.8,3.4,3.5,3.7,4.6,5.6,5.0,5.5,6.8,6.2,6.5,6.8,6.4,6.4,6.3,6.4,6.6,6.4,5.0,5.9,6.2,5.9,5.5,8.1,11.3,13.2,15.3,15.9
"NG","na","na","na","na","na",0.1,0.2,0.3,0.4,0.4,0.4,0.7,0.9,1.0,1.4,1.7,2.5,2.6,2.9,2.8,2.6,3.1,3.0,3.7,4.2,4.0,3.9,4.3,4.9,4.4,4.8,5.4,5.1,5.1,6.0,12.5,14.9,14.2,19.2,22.8,22.4,28.4,35.0,35.0
"BP_OAF","na","na","na","na","na",0.1,0.1,0.2,0.3,0.4,0.5,0.4,0.5,0.6,0.6,0.8,0.9,0.9,1.0,1.0,1.0,1.1,1.0,1.2,1.2,1.2,1.1,1.1,2.7,3.0,3.0,3.9,5.0,5.1,5.8,6.3,6.8,7.5,7.1,9.3,11.2,11.8,13.6,18.5
"BP_TAF","na","na","na","na","na",2.8,4.5,7.1,9.1,9.6,11.9,14.3,14.6,19.4,29.5,24.0,26.5,31.5,42.1,42.9,47.5,51.9,56.5,60.3,66.4,68.8,73.9,77.3,81.3,77.5,85.4,91.4,102.1,107.2,119.7,130.1,131.3,135.3,144.8,155.2,175.6,192.6,204.4,214.8
"AU","na","na","na","na","na",1.7,2.6,3.7,4.7,5.4,5.8,6.8,7.8,8.4,9.7,11.1,12.1,11.8,12.8,12.6,13.5,14.7,15.0,15.4,17.8,20.7,21.7,23.5,24.5,28.1,29.8,29.8,29.8,30.4,30.8,31.2,32.5,32.6,33.2,35.3,37.1,38.9,40.0,38.3
"BD","na","na","na","na","na",0.0,0.4,0.4,0.6,0.6,0.6,0.8,0.9,1.0,1.2,1.3,1.6,1.9,2.2,2.5,2.8,3.2,3.8,4.3,4.7,4.8,5.3,5.7,6.1,6.6,7.4,7.6,7.6,7.8,8.3,10.0,10.7,11.4,12.3,13.2,14.5,15.3,16.3,17.3
"BN","na","na","na","na","na",0.2,0.2,0.4,1.9,4.2,5.5,7.3,8.4,8.2,8.6,8.6,8.4,8.4,8.7,8.8,8.6,8.6,8.6,8.9,8.8,8.9,9.1,9.8,10.3,10.4,11.8,11.7,11.7,10.8,11.2,11.3,11.4,11.5,12.4,12.2,12.0,12.6,12.3,12.1
"CN","na","na","na","na","na",2.9,3.7,4.8,6.0,7.5,8.8,10.1,12.1,13.7,14.5,14.3,12.7,11.9,12.2,12.4,12.9,13.8,13.9,14.3,15.0,15.3,15.5,15.8,16.8,17.6,17.9,20.1,22.7,23.3,25.2,27.2,30.3,32.7,35.0,41.5,49.3,58.6,69.2,76.1
"IN","na","na","na","na","na",0.7,0.7,0.8,0.8,0.9,1.1,1.3,1.4,1.6,2.0,1.2,2.1,2.7,3.2,3.7,4.5,6.3,7.2,8.5,10.1,12.0,13.4,15.0,15.2,16.5,18.8,20.5,22.3,24.5,25.1,26.4,26.4,27.6,29.5,29.2,29.6,29.3,30.1,30.6
"ID","na","na","na","na","na",1.2,1.3,1.2,0.8,1.1,2.3,2.4,5.7,10.9,15.8,18.5,18.8,19.1,21.8,29.4,32.3,33.6,35.9,39.2,41.3,43.9,48.2,51.1,53.1,60.4,60.7,64.0,65.7,64.6,70.0,65.2,63.3,69.7,73.2,70.3,71.2,70.3,67.6,69.7
"MY","na","na","na","na","na",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,7.5,10.3,14.0,15.6,16.4,17.5,17.8,20.4,22.8,24.9,26.1,28.9,33.6,38.6,38.5,40.8,45.3,46.9,48.3,51.8,53.9,59.9,59.7,60.8,62.5
"MM","na","na","na","na","na",0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.4,0.5,0.6,0.6,0.9,1.1,1.2,1.0,1.1,0.8,0.9,0.9,1.1,1.4,1.6,1.6,1.5,1.8,1.7,3.4,7.0,8.4,9.6,10.2,12.2,12.6,13.5,12.4
"NZ","na","na","na","na","na",0.1,0.1,0.3,0.3,0.3,0.4,0.9,1.5,1.4,1.0,0.9,1.1,1.9,2.1,2.6,3.4,4.0,3.9,4.2,4.3,4.3,4.7,5.0,4.9,4.5,4.3,4.9,5.2,4.6,5.3,5.6,5.9,5.6,4.3,3.8,3.6,3.7,4.1,3.8
"PK","na","na","na","na","na",3.5,3.5,3.2,3.7,4.1,4.6,4.7,5.1,5.2,5.9,7.2,7.8,8.5,8.4,8.6,8.8,9.5,10.1,10.7,11.4,12.2,13.2,13.0,14.9,15.2,15.6,16.9,16.9,17.8,20.3,21.5,22.7,24.6,30.4,34.5,35.5,36.1,36.5,37.5
"TH","na","na","na","na","na",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,1.3,1.6,2.4,3.1,3.6,5.1,6.3,6.0,6.5,8.1,8.6,9.7,10.7,11.4,13.1,16.2,17.5,19.2,20.2,19.6,20.5,21.8,22.4,23.7,24.3,26.0,28.9
"VN","na","na","na","na","na",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.2,0.2,0.1,0.3,0.5,0.9,1.3,1.6,2.0,2.4,2.4,4.2,6.9,6.8,7.1,7.9
"BP_OAP","na","na","na","na","na",5.4,6.1,6.5,6.7,7.0,6.8,6.7,7.1,6.9,6.5,6.8,6.3,5.9,6.1,6.3,6.4,6.2,6.3,6.4,3.6,3.5,3.2,3.2,3.2,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.6,5.3,6.4,6.2,7.0,10.5,13.0,14.1
"BP_TAP","na","na","na","na","na",15.7,18.6,21.4,25.5,31.3,36.2,41.3,50.3,57.7,65.3,70.2,71.5,73.9,79.9,97.6,107.5,118.6,126.7,135.7,141.7,150.9,163.7,174.4,185.0,201.2,211.6,227.5,242.0,245.7,262.6,272.1,282.4,300.6,322.3,336.8,362.6,378.5,396.3,411.2
"BP_WORLD","na","na","na","na","na",1001.5,1066.4,1117.8,1170.6,1192.4,1194.8,1243.4,1293.0,1338.7,1427.4,1434.4,1457.3,1459.0,1464.6,1595.7,1648.6,1696.7,1780.1,1863.4,1922.8,1970.4,2001.5,2013.8,2056.6,2081.7,2119.0,2218.1,2221.9,2273.0,2330.9,2412.4,2477.4,2519.4,2615.5,2694.1,2777.8,2876.1,2945.3,3065.6
"BP_EU1","na","na","na","na","na",101.7,124.1,148.8,167.0,185.4,192.9,205.2,209.1,203.7,204.4,197.2,194.0,183.2,187.0,189.6,194.8,190.7,193.7,181.9,183.1,185.1,194.4,193.6,205.1,205.0,212.1,235.4,225.3,223.4,226.6,232.0,232.9,227.7,223.6,227.4,211.9,201.3,187.5,190.3
"BP_OECD","na","na","na","na","na",745.2,789.0,823.4,850.5,839.0,804.4,812.1,825.1,830.9,863.4,851.6,840.6,795.9,747.7,798.5,783.8,761.9,792.1,808.7,827.3,849.5,866.6,886.1,920.7,960.9,973.4,1027.1,1030.2,1041.8,1047.2,1071.0,1093.8,1083.9,1091.2,1088.0,1072.1,1086.6,1092.1,1136.6
"BP_FSU","na","na","na","na","na",179.1,192.2,200.4,213.8,235.8,261.8,290.5,313.1,336.8,368.0,393.8,421.1,453.1,484.8,531.6,581.8,621.0,658.2,696.9,720.4,737.8,733.6,706.6,689.1,651.2,640.1,649.0,608.6,625.3,636.6,654.4,657.1,671.2,701.9,723.5,738.0,758.0,772.2,793.7
"BP_EMES","na","na","na","na","na",77.2,85.2,94.0,106.3,117.6,128.6,140.8,154.8,171.1,196.0,189.0,195.5,210.0,232.0,265.6,282.9,313.8,329.7,357.8,375.1,383.1,401.3,421.0,446.7,469.6,505.4,541.9,583.0,605.9,647.0,687.0,726.5,764.3,822.4,882.6,967.7,1031.5,1081.1,1135.3
