title         = ASCII CSV version of Natural Gas consumption data from the 2010 British Petroleum Statistical Review (worksheet 24)
file URL      = http://mazamascience.com/OilExport/BP_2010_gas_consumption_mtoe.csv
original data = http://www.bp.com/liveassets/bp_internet/globalbp/globalbp_uk_english/reports_and_publications/statistical_energy_review_2008/STAGING/local_assets/2010_downloads/Statistical_Review_of_World_Energy_2010.xls
country codes = ISO3166-1 two-letter codes or 'BP_~~~' for special groups (e.g. BP_TNA = Total North America)
units         = million tonnes oil equivalent per year

"YEAR",1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
"TR",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.5,1.1,2.8,3.0,3.7,4.1,4.5,4.7,6.1,7.1,8.7,9.2,11.1,13.1,14.4,15.6,18.8,19.9,24.2,27.4,31.6,32.4,28.9
"TM","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na",7.5,12.2,12.1,12.3,12.7,8.6,8.4,8.1,8.1,8.9,7.0,8.7,8.8,9.0,9.9,11.0,11.2,11.6,12.8,13.5,14.5,16.5,19.1,17.1,17.8
"UA","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na",78.4,82.8,84.5,89.6,90.6,111.6,106.0,90.4,81.1,71.0,66.5,72.0,64.8,60.0,63.8,63.9,61.9,60.9,62.1,61.7,62.1,60.3,56.9,54.0,42.3
"GB",0.7,0.7,1.2,2.7,5.3,10.2,16.4,23.3,25.2,30.1,31.6,33.5,35.6,36.9,40.4,40.3,40.9,40.6,42.4,43.4,46.6,47.4,48.7,46.4,45.3,47.2,51.0,50.7,57.8,59.5,63.5,73.9,76.0,79.1,84.2,87.2,86.7,85.6,85.8,87.7,85.2,80.9,81.9,84.4,77.9
"UZ","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na",28.7,27.7,29.0,28.6,30.2,32.2,32.4,32.6,35.5,36.1,37.0,37.8,39.7,41.0,43.0,41.1,44.6,45.8,41.2,39.1,38.4,37.7,41.3,43.8,43.9
"BP_OEE",104.9,117.1,129.0,139.3,149.0,163.9,179.2,188.7,205.2,217.6,237.4,261.2,279.8,298.5,317.1,327.3,346.4,374.4,401.5,438.2,18.9,19.2,21.1,23.7,25.3,24.2,21.3,19.1,14.2,12.2,12.2,12.0,13.0,12.9,11.4,11.9,13.0,12.2,12.7,14.0,14.2,14.7,15.2,14.7,12.6
"BP_TEE",140.3,157.3,176.5,199.6,227.5,261.8,299.1,331.3,367.9,402.0,432.8,475.0,503.5,531.2,562.2,573.7,591.3,613.6,646.2,695.0,743.0,763.2,801.3,825.6,848.3,877.2,887.2,853.4,851.4,814.9,822.7,864.7,829.5,850.9,871.1,886.2,913.1,916.5,954.5,980.5,1002.8,1009.3,1022.0,1024.6,952.8
"IR",6.6,6.9,7.2,7.6,7.9,8.3,8.7,8.4,9.3,11.7,11.1,11.0,9.9,9.1,11.6,6.2,5.1,6.5,9.9,12.2,13.1,13.7,14.4,18.0,20.0,20.4,20.5,22.5,23.9,28.6,31.7,35.0,42.4,46.6,52.5,56.6,63.1,71.3,74.6,77.9,94.5,97.8,101.7,107.4,118.5
"KW",1.2,1.3,1.4,1.5,1.6,1.8,1.9,2.2,2.5,2.6,2.9,3.5,3.8,4.2,5.6,3.7,4.2,3.3,3.6,3.9,3.8,5.2,4.3,6.2,7.3,3.8,0.5,2.4,4.9,5.4,8.3,8.4,8.3,8.5,7.8,8.6,9.4,8.5,9.9,10.7,11.0,11.2,10.9,11.5,12.1
"QA",0.1,0.1,0.1,0.5,0.8,0.9,0.9,1.0,1.4,1.2,2.0,1.3,1.4,1.3,3.9,4.7,3.8,4.4,4.3,5.3,5.0,5.2,5.2,5.6,5.3,5.7,6.9,11.4,12.2,12.2,12.2,12.3,13.1,13.3,12.6,8.7,9.9,10.0,11.0,13.5,16.8,17.6,17.7,18.2,19.0
