title         = ASCII CSV version of Natural Gas consumption data from the 2009 British Petroleum Statistical Review (worksheet 22)
file URL      = http://mazamascience.com/OilExport/BP_2009_gas_consumption_m3.csv
original data = http://www.bp.com/liveassets/bp_internet/globalbp/globalbp_uk_english/reports_and_publications/statistical_energy_review_2008/STAGING/local_assets/2009_downloads/statistical_review_of_world_energy_full_report_2009.xls
country codes = ISO3166-1 two-letter codes or 'BP_~~~' for special groups (e.g. BP_TNA = Total North America)
units         = billion cubic meters per year

"YEAR",1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
"UZ","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na",31.9,30.8,32.2,31.8,33.6,35.7,36.0,36.2,39.5,40.1,41.1,42.0,44.1,45.6,47.8,45.7,49.6,50.9,45.8,43.4,42.7,41.9,45.9,48.7
"BP_OEE",116.6,130.1,143.3,154.8,165.5,182.1,199.1,209.6,228.0,241.8,263.8,290.2,310.9,331.7,352.4,363.6,384.8,416.0,446.1,486.8,21.0,21.4,23.4,26.4,28.1,26.8,23.7,21.2,15.7,13.6,13.5,13.3,14.5,14.4,12.7,13.2,14.5,13.6,14.1,15.6,15.8,16.3,16.8,17.1
"BP_TEE",155.9,174.8,196.1,221.8,252.7,290.9,332.4,368.1,408.8,446.7,480.9,527.8,559.4,590.3,624.6,637.4,657.0,681.8,718.0,772.2,825.5,848.0,890.3,917.3,942.5,974.7,985.7,948.2,946.0,905.4,913.9,960.7,921.7,945.4,967.5,996.9,1010.0,1029.1,1053.9,1087.2,1110.6,1132.4,1138.3,1143.9
"IR",7.3,7.6,8.0,8.4,8.8,9.2,9.7,9.4,10.3,13.0,12.3,12.3,11.0,10.1,12.9,6.9,5.7,7.2,11.0,13.5,14.6,15.2,16.0,20.0,22.2,22.7,22.7,25.0,26.6,31.8,35.2,38.9,47.1,51.8,58.4,62.9,70.1,79.2,82.9,86.5,105.0,108.7,113.0,117.6
"KW",1.3,1.4,1.5,1.6,1.8,2.0,2.1,2.5,2.8,2.9,3.2,3.9,4.2,4.7,6.3,4.1,4.7,3.7,4.0,4.4,4.2,5.7,4.8,6.8,8.2,4.2,0.5,2.6,5.4,6.0,9.3,9.3,9.3,9.5,8.6,9.6,10.5,9.5,11.0,11.9,12.2,12.5,12.1,12.8
"QA",0.1,0.1,0.1,0.5,0.8,1.0,1.0,1.1,1.6,1.3,2.2,1.5,1.6,1.5,4.4,5.2,4.2,4.9,4.8,5.9,5.5,5.8,5.8,6.2,5.9,6.3,7.6,12.6,13.5,13.5,13.5,13.7,14.5,14.8,13.9,9.7,10.9,11.1,12.2,15.0,18.7,19.6,19.7,19.8
"SA",0.6,0.8,0.9,1.1,1.3,1.6,1.3,1.5,1.8,2.3,2.7,2.9,4.1,5.7,7.0,9.7,11.3,12.0,11.7,18.2,18.8,25.2,26.8,29.1,29.8,33.5,35.2,38.2,40.0,42.8,42.9,44.4,45.3,46.8,46.2,49.8,53.7,56.7,60.1,65.7,71.2,73.5,74.4,78.1
"AE",0.0,0.0,0.5,0.6,0.6,0.8,1.3,1.4,1.7,1.8,1.7,1.9,3.4,4.0,4.4,4.9,6.2,6.5,6.0,8.2,10.1,12.3,14.0,14.2,17.3,16.9,20.4,18.8,19.6,22.7,24.8,27.1,29.0,30.4,31.4,31.4,37.9,36.4,37.9,40.2,42.0,43.4,49.3,58.1
"BP_OME",0.8,1.0,0.9,1.0,1.4,1.5,1.8,1.9,2.5,2.8,3.4,4.1,3.6,4.2,5.3,4.5,3.8,5.1,5.3,5.8,7.3,8.5,8.7,11.0,12.3,12.1,11.8,13.6,14.3,15.4,16.7,17.4,19.9,21.6,22.5,23.4,23.7,24.7,25.0,27.8,30.1,33.8,34.8,40.7
"BP_TME",10.1,10.9,11.9,13.3,14.7,16.2,17.2,17.8,20.7,24.1,25.5,26.5,27.9,30.2,40.1,35.3,35.9,39.4,42.8,56.0,60.5,72.7,76.1,87.4,95.7,95.7,98.2,110.9,119.4,132.1,142.4,150.9,165.1,174.8,181.1,186.7,206.8,217.6,229.0,247.1,279.2,291.5,303.3,327.1
"DZ",0.8,0.8,0.8,0.8,1.1,1.0,1.1,1.3,1.9,2.1,3.0,3.5,3.7,6.0,8.5,11.4,14.8,16.8,18.4,16.1,16.0,17.5,17.9,20.2,19.0,20.3,20.0,20.7,18.6,19.6,21.0,21.6,20.2,20.9,21.3,19.8,20.5,20.2,21.4,22.0,23.2,23.7,24.3,25.4
"EG",0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.4,0.5,0.7,1.1,2.2,2.4,2.7,3.1,4.0,4.9,5.7,6.3,6.9,7.7,8.1,9.1,9.8,11.3,12.0,12.6,13.0,13.4,13.7,16.4,20.0,24.5,26.5,29.7,31.7,31.6,36.5,38.4,40.9
"ZA",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"BP_OAF",0.2,0.3,0.3,0.2,0.2,0.6,0.6,1.1,1.7,1.8,2.4,2.4,2.8,3.3,5.8,5.7,6.4,6.0,6.6,6.7,7.8,9.1,9.1,9.8,11.7,11.1,10.6,11.3,11.7,12.0,12.8,14.4,14.4,15.0,15.6,17.4,17.6,18.0,20.4,23.6,24.5,23.7,26.5,28.6
"BP_TAF",1.0,1.1,1.1,1.1,1.3,1.7,1.8,2.5,3.6,4.0,5.4,6.3,7.0,10.0,15.4,19.3,23.6,25.5,28.1,26.9,28.8,32.3,33.3,36.9,38.4,39.4,39.7,41.8,41.5,43.5,46.4,49.0,48.0,49.5,53.4,57.2,62.6,64.7,71.5,77.4,79.4,83.9,89.2,94.9
"AU",0.0,0.0,0.0,0.0,0.4,1.7,2.6,3.7,4.7,5.4,5.8,6.8,7.8,8.4,9.7,11.1,12.1,11.8,12.8,12.6,13.5,14.7,15.0,15.4,16.8,16.9,16.2,16.8,17.4,19.3,19.5,19.7,19.3,19.8,20.2,20.5,22.0,22.4,22.4,22.8,21.9,24.0,24.9,23.5
"BD",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.6,0.6,0.6,0.8,0.9,1.0,1.2,1.3,1.6,1.9,2.2,2.5,2.8,3.2,3.8,4.3,4.7,4.8,5.3,5.7,6.1,6.6,7.4,7.6,7.6,7.8,8.3,10.0,10.7,11.4,12.3,13.2,14.5,15.3,16.3,17.3
"CN",1.1,1.3,1.5,1.4,2.0,2.9,3.7,4.8,6.0,7.5,8.8,10.1,12.1,13.7,14.5,14.3,12.7,11.9,12.2,12.4,12.9,13.8,13.9,14.4,15.0,15.2,15.9,15.9,16.8,17.3,17.7,18.5,19.5,20.3,21.5,24.5,27.4,29.2,33.9,39.7,46.8,56.1,69.5,80.7
"HK",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1,3.2,3.0,3.3,3.0,3.0,2.9,1.8,2.7,2.7,2.9,2.2,2.6
"IN",0.2,0.3,0.3,0.4,0.5,0.7,0.7,0.8,0.8,0.9,1.1,1.3,1.4,1.6,2.0,1.2,2.1,2.7,3.2,3.7,4.5,6.3,7.2,8.5,10.1,12.0,13.4,15.0,15.2,16.5,18.8,20.5,22.3,24.5,25.1,26.4,26.4,27.6,29.5,31.9,35.7,37.3,40.1,41.4
"ID",0.5,0.5,0.6,0.6,1.2,1.2,1.3,1.2,0.8,1.1,2.3,2.4,5.0,5.8,7.5,7.0,7.0,6.7,8.9,10.4,12.4,13.3,13.8,14.6,16.4,16.9,19.5,21.2,22.5,26.7,28.1,29.3,30.6,29.5,32.0,29.7,31.0,32.9,35.2,33.2,35.2,35.9,34.0,38.0
"JP",1.7,1.8,1.9,2.0,2.2,3.4,3.7,3.7,5.1,7.0,8.3,10.0,12.2,17.1,20.3,24.1,24.1,24.7,26.6,35.7,38.3,38.9,39.9,42.4,44.0,48.1,50.8,52.8,53.2,56.9,57.9,61.8,64.1,66.1,69.4,72.3,74.3,72.7,79.8,77.0,78.6,83.7,90.2,93.7
"MY",0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.2,0.6,0.6,0.9,1.0,1.1,1.1,1.3,1.6,2.7,4.5,6.5,8.1,7.6,8.2,9.4,9.9,11.6,11.7,13.0,13.6,13.7,17.8,16.7,17.4,16.1,24.3,25.8,26.7,27.1,24.5,29.3,29.0,28.5,30.7
"NZ",0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.3,0.3,0.3,0.4,0.9,1.5,1.4,1.0,0.9,1.1,1.9,2.1,2.6,3.4,4.0,3.9,4.2,4.3,4.3,4.7,5.0,4.9,4.5,4.3,4.9,5.2,4.6,5.3,5.6,5.9,5.6,4.3,3.8,3.6,3.7,4.1,3.8
"PK",1.8,2.0,2.3,2.6,3.2,3.5,3.5,3.2,3.7,4.1,4.6,4.7,5.1,5.2,5.9,7.2,7.8,8.5,8.4,8.6,8.8,9.5,10.1,10.7,11.4,12.2,13.2,13.0,14.9,15.2,15.6,16.9,16.9,17.8,20.3,21.5,22.7,24.6,30.4,34.5,35.5,36.1,36.5,37.5
"PH",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1.8,2.7,2.4,3.3,2.9,3.4,3.5
"SG",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.7,4.6,5.0,5.4,6.5,6.5,8.6,8.6,9.2
"KR",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,2.3,3.0,2.9,3.4,3.9,5.1,6.4,8.5,10.2,13.5,16.4,15.4,18.7,21.0,23.1,25.7,26.9,31.5,33.7,35.6,38.5,39.7
