title         = ASCII CSV version of Natural Gas consumption data from the 2008 British Petroleum Statistical Review (worksheet 22)
file URL      = http://mazamascience.com/OilExport/BP_2008_gas_consumption_m3.csv
original data = http://www.bp.com/liveassets/bp_internet/globalbp/globalbp_uk_english/reports_and_publications/statistical_energy_review_2008/STAGING/local_assets/downloads/spreadsheets/statistical_review_full_report_workbook_2008.xls
country codes = ISO3166-1 two-letter codes or 'BP_~~~' for special groups (e.g. BP_TNA = Total North America)
units         = billion cubic meters per year

"YEAR",1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007
"IE",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.8,1.3,1.8,2.0,2.1,2.2,1.5,1.5,1.8,2.1,2.1,2.1,2.1,2.4,2.4,2.6,3.0,3.1,3.1,3.3,3.8,4.0,4.1,4.1,4.1,3.9,4.5,4.8
"IT",8.1,9.1,9.6,10.8,12.4,13.6,13.9,13.7,16.0,17.5,20.0,24.4,24.0,25.0,25.4,25.4,25.3,24.5,25.1,29.4,30.2,32.1,35.8,38.0,41.0,43.4,46.2,45.7,46.8,45.3,49.9,51.5,53.1,57.2,62.2,64.8,65.0,64.6,71.2,73.9,79.1,77.4,77.8
"KZ","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na",8.6,10.4,10.9,11.4,11.8,12.5,13.2,13.5,13.0,10.3,10.8,9.0,7.1,7.3,7.9,9.7,10.1,11.1,13.3,15.4,19.4,20.9,19.8
"LT","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na",4.2,4.2,4.4,4.6,4.9,5.6,5.4,3.0,1.7,2.0,2.3,2.5,2.6,2.3,2.4,2.7,2.8,2.9,3.1,3.1,3.3,3.2,3.8
"NL",1.8,3.3,6.1,10.2,14.9,21.2,27.3,32.2,35.7,35.7,36.9,36.7,37.1,36.2,36.8,33.6,33.4,33.8,32.8,34.7,36.2,36.3,37.3,34.0,34.8,34.4,38.0,36.7,37.9,36.9,37.8,41.7,39.1,38.7,37.9,39.2,39.1,39.3,40.3,41.1,39.5,38.3,37.2
"NO",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.6,0.7,0.8,1.0,1.0,1.2,1.1,1.2,1.3,1.4,1.8,2.0,2.1,2.4,2.6,2.7,2.9,2.9,3.2,3.7,3.8,3.6,4.0,3.8,4.0,4.3,4.6,4.5,4.4,4.3
"PL",1.6,1.9,2.4,3.3,4.5,5.8,6.4,6.7,7.0,7.1,7.7,8.2,8.7,9.1,9.5,9.7,9.2,9.2,9.4,9.8,9.9,10.5,10.9,10.8,10.6,9.9,8.8,8.7,9.0,9.2,9.9,10.6,10.5,10.6,10.3,11.1,11.5,11.2,11.2,13.1,13.6,13.7,13.7
"PT",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.8,2.3,2.4,2.6,3.1,3.0,3.8,4.2,4.1,4.3
"RO",15.3,16.4,18.1,19.2,22.3,23.2,24.8,25.1,26.6,27.4,29.8,32.8,34.8,35.9,34.6,36.0,37.8,38.4,38.3,38.1,35.5,36.1,35.5,35.6,35.4,30.8,24.7,25.4,25.2,24.2,24.0,24.2,20.0,18.7,17.2,17.1,16.6,17.2,18.3,17.5,17.6,18.2,16.4
"RU","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na",361.2,365.4,386.5,407.8,413.9,420.1,431.1,417.3,416.0,390.9,377.8,379.9,350.4,364.7,363.6,377.2,372.7,388.9,392.9,401.9,405.1,432.1,438.8
