"BILLION CUBIC FEET PER DAY",1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006
"TR",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.3,0.3,0.4,0.4,0.5,0.5,0.7,0.8,0.9,1.0,1.2,1.4,1.6,1.7,2.0,2.1,2.6,3.0
"TM","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",0.8,1.4,1.3,1.4,1.4,0.9,0.9,0.9,0.9,1.0,0.8,1.0,1.0,1.0,1.1,1.2,1.2,1.3,1.4,1.5,1.6,1.8
"UA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",8.7,9.2,9.4,9.9,10.0,12.4,11.8,10.0,9.0,7.9,7.4,8.0,7.2,6.7,7.1,7.1,6.9,6.8,6.6,7.0,7.0,6.4
"GB",0.1,0.1,0.1,0.3,0.6,1.1,1.8,2.5,2.7,3.2,3.4,3.6,3.8,4.0,4.3,4.3,4.4,4.4,4.6,4.6,5.0,5.1,5.2,5.0,4.9,5.1,5.5,5.4,6.2,6.4,6.8,7.9,8.2,8.5,8.9,9.3,9.3,9.2,9.2,9.4,9.2,8.8
"UZ","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",3.2,3.1,3.2,3.2,3.3,3.6,3.6,3.6,3.9,4.0,4.1,4.2,4.4,4.5,4.8,4.5,4.9,5.1,4.6,4.3,4.3,4.2
"BP_04",11.6,13.0,14.3,15.4,16.5,18.2,19.9,20.8,22.7,24.1,26.3,28.9,31.0,33.1,35.1,36.2,38.4,41.5,44.5,48.4,2.1,2.1,2.3,2.6,2.8,2.7,2.3,2.1,1.6,1.3,1.3,1.3,1.4,1.4,1.2,1.3,1.4,1.3,1.4,1.3,1.4,1.4
"BP_05",15.5,17.4,19.5,22.0,25.2,29.1,33.3,36.5,40.6,44.1,47.5,51.8,55.1,58.0,61.5,62.6,64.8,67.5,70.8,75.9,81.4,83.6,87.8,90.3,93.0,96.2,97.2,93.2,93.2,89.2,89.9,94.2,90.6,92.9,95.0,97.8,99.2,101.2,103.6,106.3,108.9,110.9
"IR",0.7,0.7,0.8,0.8,0.9,0.9,0.9,0.9,1.0,1.3,1.2,1.2,1.1,1.0,1.3,0.7,0.6,0.7,1.1,1.3,1.4,1.5,1.5,1.9,2.1,2.2,2.2,2.4,2.6,3.1,3.4,3.8,4.6,5.0,5.6,6.1,6.8,7.7,8.0,9.0,9.9,10.2
"KW",0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.4,0.4,0.5,0.6,0.4,0.5,0.4,0.4,0.4,0.4,0.6,0.5,0.7,0.8,0.4,0.0,0.3,0.5,0.6,0.9,0.9,0.9,0.9,0.8,0.9,0.8,0.8,0.9,1.1,1.2,1.2
"QA",0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.2,0.1,0.2,0.1,0.2,0.1,0.4,0.5,0.4,0.5,0.5,0.6,0.5,0.6,0.6,0.6,0.6,0.6,0.7,1.2,1.3,1.3,1.3,1.3,1.4,1.4,1.3,0.9,1.1,1.1,1.2,1.5,1.8,1.9
