title         = ASCII CSV version of Natural Gas production data from the 2008 British Petroleum Statistical Review (worksheet 19)
file URL      = http://mazamascience.com/OilExport/BP_2008_gas_production_m3.csv
original data = http://www.bp.com/liveassets/bp_internet/globalbp/globalbp_uk_english/reports_and_publications/statistical_energy_review_2008/STAGING/local_assets/downloads/spreadsheets/statistical_review_full_report_workbook_2008.xls
country codes = ISO3166-1 two-letter codes or 'BP_~~~' for special groups (e.g. BP_TNA = Total North America)
units         = billion cubic meters per year

"YEAR",1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007
"AE","na","na","na","na","na",0.8,1.5,1.5,1.7,1.7,1.7,1.9,3.9,5.7,6.1,7.5,8.9,9.5,8.4,11.0,13.2,15.2,16.9,17.4,20.4,20.1,23.8,22.2,23.0,25.8,31.3,33.8,36.3,37.1,38.5,38.4,39.4,43.4,44.8,46.3,47.0,47.4,49.2
"BP_OME","na","na","na","na","na",0.9,1.0,1.1,1.0,0.9,1.4,1.9,1.2,1.3,1.8,1.4,0.8,0.8,0.5,0.6,0.9,1.6,3.8,5.6,6.6,4.2,1.9,2.4,2.8,3.4,3.4,3.5,3.3,3.2,3.4,3.4,3.0,2.6,1.8,3.3,4.4,5.6,5.5
"BP_TME","na","na","na","na","na",19.9,22.2,25.1,28.3,31.8,33.3,33.9,36.3,38.8,46.9,37.7,38.9,42.6,45.6,58.8,63.6,76.1,82.0,93.3,102.3,101.2,104.5,114.0,122.9,134.8,148.9,158.0,175.4,184.0,193.8,206.8,224.8,244.7,259.9,290.7,317.5,339.0,355.8
"DZ","na","na","na","na","na",2.5,2.7,3.4,4.5,5.2,6.4,8.1,7.7,11.9,19.6,14.2,16.9,21.9,31.6,31.5,34.3,36.5,41.2,43.0,46.4,49.3,53.2,55.3,56.1,51.6,58.7,62.3,71.8,76.6,86.0,84.4,78.2,80.4,82.8,82.0,88.2,84.5,83.0
"EG","na","na","na","na","na",0.1,0.1,0.1,0.1,0.0,0.0,0.1,0.4,0.6,0.9,1.8,2.0,2.2,2.6,3.4,4.1,4.8,5.3,6.0,6.5,6.8,7.8,8.4,10.0,10.6,11.0,11.5,11.6,12.2,14.7,18.3,21.5,22.7,25.0,26.9,34.6,44.7,46.5
"LY","na","na","na","na","na",0.0,1.4,3.2,3.8,3.5,4.3,4.5,4.7,4.8,4.8,4.8,3.5,3.1,3.5,4.2,4.7,5.1,4.5,5.0,6.2,5.6,5.9,6.1,5.8,5.8,5.8,5.8,6.0,5.8,4.7,5.3,5.6,5.6,5.8,6.2,11.3,14.8,15.2
"NG","na","na","na","na","na",0.1,0.2,0.3,0.4,0.4,0.4,0.7,0.9,1.0,1.4,1.7,2.5,2.6,2.9,2.8,2.6,3.1,3.0,3.7,4.2,4.0,3.9,4.3,4.9,4.4,4.8,5.4,5.1,5.1,6.0,12.5,14.9,14.2,19.2,22.8,22.4,28.4,35.0
"BP_OAF","na","na","na","na","na",0.1,0.1,0.2,0.3,0.4,0.5,0.5,0.5,0.6,0.6,0.7,0.7,0.8,0.8,0.8,0.7,0.8,0.7,0.8,0.9,1.2,1.1,1.1,2.7,2.9,3.0,3.8,4.9,5.0,5.7,6.2,6.7,7.4,7.1,7.9,9.0,9.2,10.7
"BP_TAF","na","na","na","na","na",2.8,4.5,7.1,9.1,9.6,11.6,13.7,14.2,19.0,27.3,23.1,25.7,30.6,41.4,42.6,46.5,50.2,54.8,58.5,64.3,66.9,71.9,75.3,79.4,75.3,83.3,88.9,99.4,104.8,117.1,126.8,126.9,130.3,139.9,145.8,165.6,181.6,190.4
"AU","na","na","na","na","na",1.7,2.6,3.7,4.7,5.4,5.8,6.8,7.8,8.4,9.7,11.1,12.1,11.8,12.8,12.6,13.5,14.7,15.0,15.4,17.8,20.7,21.7,23.5,24.5,28.1,29.8,29.8,29.8,30.4,30.8,31.2,32.5,32.6,33.2,35.3,37.1,38.9,40.0
"BD","na","na","na","na","na",0.0,0.4,0.4,0.6,0.6,0.6,0.8,0.9,1.0,1.2,1.3,1.6,1.9,2.2,2.5,2.8,3.2,3.8,4.3,4.7,4.8,5.3,5.7,6.1,6.6,7.4,7.6,7.6,7.8,8.3,10.0,10.7,11.4,12.3,13.2,14.5,15.3,16.3
"BN","na","na","na","na","na",0.2,0.2,0.4,1.9,4.2,5.5,7.3,8.4,8.2,8.6,8.6,8.4,8.4,8.7,8.8,8.6,8.6,8.6,8.9,8.8,8.9,9.1,9.8,10.3,10.4,11.8,11.7,11.7,10.8,11.2,11.3,11.4,11.5,12.4,12.2,12.0,12.6,12.3
"CN","na","na","na","na","na",2.9,3.7,4.8,6.0,7.5,8.8,10.1,12.1,13.7,14.5,14.3,12.7,11.9,12.2,12.4,12.9,13.8,13.9,14.3,15.0,15.3,15.5,15.8,16.8,17.6,17.9,20.1,22.7,23.3,25.2,27.2,30.3,32.7,35.0,41.5,49.3,58.6,69.3
"IN","na","na","na","na","na",0.7,0.7,0.8,0.8,0.9,1.1,1.3,1.4,1.6,2.0,1.2,2.1,2.7,3.2,3.7,4.5,6.3,7.2,8.5,10.1,12.0,13.4,15.0,15.2,16.5,18.8,20.5,22.3,24.5,25.1,26.4,26.4,27.6,29.5,29.2,29.6,29.3,30.2
"ID","na","na","na","na","na",1.2,1.3,1.2,0.8,1.1,2.3,2.4,5.7,10.9,15.8,18.5,18.8,19.1,21.8,29.4,32.3,33.6,35.9,39.2,41.3,43.9,48.2,51.1,53.1,60.4,60.7,64.0,65.7,64.6,70.0,65.7,64.5,70.6,72.7,72.8,68.7,69.3,66.7
"MY","na","na","na","na","na",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,7.5,10.3,14.0,15.6,16.4,17.5,17.8,20.4,22.8,24.9,26.1,28.9,33.6,38.6,38.5,40.8,45.3,46.9,48.3,51.8,53.9,59.9,60.2,60.5
"MM","na","na","na","na","na",0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.4,0.5,0.6,0.6,0.9,1.1,1.2,1.0,1.1,0.8,0.9,0.9,1.1,1.4,1.6,1.6,1.5,1.8,1.7,3.4,7.2,8.4,9.6,10.2,13.0,13.4,14.7
"NZ","na","na","na","na","na",0.0,0.1,0.3,0.3,0.3,0.3,0.9,1.5,1.4,0.9,0.8,1.0,1.9,2.0,2.6,3.4,4.0,3.9,4.2,4.3,4.3,4.7,5.0,4.9,4.5,4.3,4.9,5.2,4.6,5.3,5.6,5.9,5.6,4.3,3.8,3.5,3.6,4.0
"PK","na","na","na","na","na",3.5,3.5,3.2,3.7,4.1,5.0,5.2,5.7,5.9,6.6,8.1,8.9,9.7,9.7,10.0,10.4,11.1,11.9,12.6,13.4,14.3,15.1,15.5,17.3,17.8,18.3,19.7,19.8,20.1,22.2,22.8,23.4,22.9,25.2,27.4,30.2,30.5,30.8
"TH","na","na","na","na","na",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,1.3,1.6,2.4,3.1,3.6,5.1,6.3,6.0,6.5,8.1,8.6,9.7,10.7,11.4,13.1,16.2,17.5,19.2,20.2,19.6,20.5,21.8,22.4,23.7,24.4,25.9
"VN","na","na","na","na","na",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.2,0.2,0.1,0.3,0.5,0.9,1.3,1.6,2.0,2.4,2.4,4.2,6.9,7.0,7.7
"BP_OAP","na","na","na","na","na",5.4,6.1,6.5,6.7,7.0,6.8,6.7,7.1,6.9,6.5,6.8,6.3,5.9,6.1,6.3,6.4,6.2,6.3,6.4,3.6,3.5,3.2,3.2,3.3,3.5,3.4,3.5,3.4,3.5,3.5,3.6,3.8,5.4,6.6,6.4,7.2,10.7,13.1
"BP_TAP","na","na","na","na","na",15.7,18.7,21.6,25.6,31.3,36.6,41.9,50.9,58.3,66.0,71.1,72.5,75.1,81.2,99.0,109.1,120.2,128.4,137.5,143.7,153.0,165.6,177.0,187.5,203.9,214.4,230.3,245.0,248.1,264.7,274.1,284.7,300.0,316.8,332.5,355.8,373.7,391.5
"BP_WORLD","na","na","na","na","na",1008.1,1073.1,1125.0,1178.1,1199.8,1203.7,1253.3,1303.1,1348.0,1439.3,1449.4,1477.1,1479.4,1484.7,1616.3,1668.8,1716.2,1801.1,1885.3,1945.7,1992.9,2023.3,2035.3,2073.8,2096.1,2135.3,2230.2,2235.7,2286.2,2346.8,2427.0,2483.8,2527.9,2618.8,2703.7,2775.5,2872.2,2940.0
"BP_EU1","na","na","na","na","na",101.7,124.0,148.7,166.8,184.9,192.5,205.0,208.3,202.9,204.1,197.4,198.3,187.3,190.3,192.7,197.9,190.6,193.3,181.9,182.7,184.6,194.4,193.4,204.3,204.5,211.3,234.4,224.5,222.2,225.7,231.2,232.4,227.4,223.9,227.8,212.3,204.9,191.9
"BP_OECD","na","na","na","na","na",746.3,789.8,824.5,851.3,839.2,805.2,813.2,825.4,829.6,865.5,854.5,847.3,802.1,752.3,801.7,785.4,762.6,792.4,808.9,828.1,848.7,865.6,885.4,916.7,956.6,970.5,1019.2,1025.5,1037.1,1045.9,1068.5,1090.7,1079.9,1086.5,1083.5,1066.4,1080.6,1093.3
"BP_FSU","na","na","na","na","na",184.7,198.1,206.5,220.4,243.1,269.8,299.4,322.8,347.2,379.3,406.0,434.0,467.1,499.7,547.9,599.8,640.1,678.5,718.3,742.6,760.5,756.2,728.4,710.3,671.2,659.8,669.0,627.4,644.5,656.2,674.5,677.3,691.9,723.5,745.8,760.0,780.0,790.2
"BP_EMES","na","na","na","na","na",77.2,85.2,94.0,106.4,117.5,128.6,140.7,155.0,171.2,194.5,188.9,195.8,210.3,232.6,266.6,283.6,313.5,330.1,358.1,375.0,383.8,401.5,421.5,446.8,468.3,505.1,542.0,582.8,604.6,644.8,683.9,715.7,756.1,808.8,874.4,949.1,1011.6,1056.4
