title         = ASCII CSV version of CO2 emissions data from the 2010 British Petroleum Statistical Review (worksheet 41)
file URL      = http://mazamascience.com/OilExport/BP_2010_co2_emissions_mtco2.csv
original data = http://www.bp.com/liveassets/bp_internet/globalbp/globalbp_uk_english/reports_and_publications/statistical_energy_review_2008/STAGING/local_assets/2010_downloads/Statistical_Review_of_World_Energy_2010.xls
country codes = ISO3166-1 two-letter codes or 'BP_~~~' for special groups (e.g. BP_TNA = Total North America)
units         = thousand barrels per day

"YEAR",1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
"IR",47.0,51.1,55.5,60.4,65.7,71.5,77.8,84.2,96.8,107.5,116.0,120.2,123.2,122.5,135.4,112.1,100.0,110.9,138.0,154.0,168.1,165.4,171.4,163.2,184.6,196.7,203.1,210.9,217.4,236.4,259.3,274.2,286.8,289.8,307.8,329.1,344.5,378.0,397.5,413.1,463.8,482.7,492.5,518.1,540.3
"KW",18.6,18.3,18.1,17.9,17.7,17.8,17.7,19.6,19.5,18.6,16.4,19.5,19.9,21.8,26.4,21.9,27.8,27.9,30.9,33.1,33.5,37.8,35.3,39.0,41.3,25.5,12.3,22.6,26.9,31.7,39.5,38.9,41.5,51.5,53.9,56.4,59.0,59.8,66.5,73.4,79.0,74.9,74.6,80.8,87.2
"QA",0.3,0.3,0.5,1.4,2.1,2.4,2.4,2.7,3.8,3.3,5.4,4.1,4.7,4.3,10.5,13.1,11.1,13.6,13.6,16.5,17.2,18.8,19.3,17.8,17.6,18.6,20.7,31.4,33.3,33.6,33.9,34.6,36.8,37.4,35.5,27.4,31.5,34.3,38.0,45.9,56.5,60.3,62.8,66.7,69.8
"SA",61.4,62.2,63.0,64.0,65.0,66.1,66.1,70.8,75.4,79.8,62.1,72.2,85.6,94.6,115.2,112.4,134.0,147.4,158.5,179.4,183.2,194.1,204.6,212.1,211.0,239.1,254.2,249.3,257.0,280.2,271.5,285.0,293.4,310.8,317.1,330.6,341.2,350.8,375.2,405.7,431.0,448.7,471.8,511.5,537.6
"AE",0.1,0.1,1.1,1.4,1.5,2.4,3.5,3.9,5.1,6.0,6.8,9.0,14.4,16.7,18.2,26.9,31.3,33.3,31.8,35.0,43.4,52.7,57.8,65.0,72.5,74.8,93.7,91.4,94.6,104.0,107.5,112.4,115.9,108.4,108.5,106.1,125.6,126.5,131.1,139.4,147.3,153.9,170.4,196.3,191.9
"BP_OME",41.2,43.5,45.4,47.7,50.7,53.3,56.4,60.0,64.3,66.0,69.5,76.1,79.8,87.8,101.8,103.0,112.3,118.0,120.2,129.4,138.0,147.3,149.9,163.7,170.2,179.4,173.7,192.0,206.4,220.2,234.1,240.9,253.0,262.8,271.7,280.5,291.2,293.9,290.0,304.1,315.2,334.6,342.5,361.3,372.5
"BP_TME",168.6,175.5,183.5,192.7,202.7,213.6,223.9,241.2,264.9,281.3,276.1,301.1,327.5,347.8,407.6,389.5,416.6,451.1,493.0,547.4,583.5,616.1,638.3,660.8,697.3,734.1,757.7,797.7,835.6,906.1,945.9,986.0,1027.2,1060.6,1094.5,1130.0,1193.0,1243.2,1298.4,1381.7,1492.7,1555.1,1614.5,1734.7,1799.3
"DZ",5.9,7.2,6.7,7.1,8.0,8.7,9.5,10.6,12.4,13.9,16.7,19.5,21.6,26.7,34.8,41.0,50.0,58.0,63.2,60.9,61.2,65.4,66.8,71.7,70.0,73.4,73.0,74.1,69.5,70.3,72.6,72.3,68.4,71.3,72.0,69.9,72.7,76.4,79.5,82.4,85.5,88.5,93.9,99.2,104.8
"EG",23.0,24.1,20.4,21.3,16.4,20.6,20.8,23.4,21.9,24.8,27.6,32.8,35.2,37.1,41.4,47.4,54.7,61.7,67.9,74.4,77.4,79.3,83.3,86.0,90.6,93.5,94.8,94.4,94.8,95.9,102.7,107.7,112.7,117.8,124.2,131.1,136.7,138.7,147.7,154.5,163.3,169.9,179.7,191.1,197.8
"ZA",114.9,115.1,119.5,125.9,129.2,134.7,145.4,148.8,159.8,164.7,175.3,182.7,187.6,185.2,192.9,209.3,245.3,269.0,277.3,299.1,305.5,308.3,315.2,340.9,325.5,333.2,328.8,319.3,331.6,348.9,367.9,386.7,398.3,395.6,392.2,391.9,388.2,401.4,426.9,449.3,438.6,448.0,466.6,484.4,468.6
