title         = ASCII CSV version of Hydro consumption data from the 2008 British Petroleum Statistical Review (worksheet 35)
file URL      = http://mazamascience.com/OilExport/BP_2008_hydro_consumption_twh.csv
original data = http://www.bp.com/liveassets/bp_internet/globalbp/globalbp_uk_english/reports_and_publications/statistical_energy_review_2008/STAGING/local_assets/downloads/spreadsheets/statistical_review_full_report_workbook_2008.xls
country codes = ISO3166-1 two-letter codes or 'BP_~~~' for special groups (e.g. BP_TNA = Total North America)
units         = Terawatt-hours per year

"YEAR",1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007
"IE",1.0,0.9,0.8,0.8,0.6,0.7,0.8,0.5,0.8,0.8,0.8,0.9,1.0,1.0,1.2,1.2,1.2,1.2,1.2,1.0,1.2,1.3,1.1,1.2,1.0,1.0,1.0,1.0,1.0,1.2,1.0,1.0,0.9,1.2,1.1,1.1,0.9,1.3,1.0,1.0,0.9,1.2,1.2
"IT",46.4,47.8,46.4,47.0,45.6,44.8,43.4,47.0,39.2,37.8,37.4,43.3,56.2,47.5,45.3,43.0,44.3,42.7,42.9,44.0,44.6,44.5,42.6,43.6,37.5,35.1,45.6,45.8,44.5,47.7,41.9,47.1,46.7,47.4,51.8,50.9,53.9,47.3,44.3,49.9,42.9,43.4,39.0
"KZ","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na",5.2,4.8,5.7,7.0,7.3,7.4,7.2,6.9,7.6,9.2,8.3,7.3,6.5,6.1,6.1,7.5,8.1,8.9,8.6,8.1,7.9,7.8,8.0
"LT","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na",0.4,0.4,0.4,0.4,0.4,0.4,0.3,0.3,0.4,0.7,0.8,0.9,0.8,0.9,0.9,0.6,0.7,0.8,1.0,0.9,0.8,0.8,1.0
"NL",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"NO",49.4,48.7,53.3,60.2,57.4,57.9,63.9,68.1,73.7,76.7,77.4,82.1,72.2,80.9,89.0,84.0,93.3,92.9,106.1,106.4,103.0,96.8,103.8,109.6,118.7,121.4,110.6,117.1,119.6,112.8,122.5,103.9,110.9,116.3,121.9,142.2,121.0,129.7,106.1,109.3,136.6,119.8,135.3
"PL",0.9,0.9,1.0,1.1,0.9,1.9,1.9,1.9,1.8,2.5,2.4,2.1,2.4,2.4,2.5,3.3,3.0,2.6,3.3,3.3,3.9,3.8,4.1,4.2,3.8,3.3,3.4,3.6,3.5,3.8,3.8,3.9,3.8,4.3,4.3,4.1,4.2,3.9,3.3,3.7,3.8,3.0,3.0
"PT",4.1,5.4,5.6,5.3,6.4,5.9,6.3,7.6,8.1,7.8,6.3,5.1,10.2,10.4,10.9,9.8,8.9,9.6,8.0,10.2,10.8,8.5,9.2,12.3,6.1,9.3,9.2,5.1,8.7,10.7,8.5,14.9,13.2,13.1,7.6,11.7,14.4,8.3,16.1,10.1,5.1,11.8,10.4
"RO",1.0,1.0,1.5,1.6,2.2,2.8,4.5,7.3,7.5,8.5,8.7,8.1,9.3,10.6,11.3,12.6,12.7,11.9,10.0,11.3,11.9,10.8,11.2,13.6,12.6,11.0,14.2,11.7,12.8,13.1,16.7,15.8,17.5,18.9,18.3,14.8,14.9,16.0,13.3,16.5,20.2,18.4,15.9
"RU","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na",159.7,164.3,162.5,160.9,159.7,166.8,168.1,172.6,175.2,175.8,177.0,154.0,157.5,158.7,160.9,165.3,175.9,164.2,157.2,180.1,174.9,175.2,179.0
"SK",2.2,2.1,1.8,1.7,1.3,2.0,1.5,1.6,1.3,2.3,2.0,2.0,2.4,2.3,1.9,2.4,2.2,2.1,2.2,2.0,2.7,2.1,2.4,2.3,2.6,2.5,1.9,2.4,3.9,4.6,5.2,4.5,4.4,4.6,4.8,5.0,5.1,5.5,3.7,4.2,4.7,4.6,4.6
"ES",20.0,27.8,23.1,24.9,31.2,28.5,33.3,35.8,29.1,31.7,26.4,22.3,40.7,41.6,47.6,30.8,23.2,27.4,28.9,33.4,33.0,27.4,28.2,36.2,20.1,26.2,28.4,20.6,25.7,28.8,24.5,41.7,37.3,39.0,30.8,36.5,43.9,26.5,43.8,34.4,23.0,29.5,32.7
"SE",46.5,45.5,49.3,48.8,41.9,41.5,52.0,53.8,59.9,57.3,57.7,54.9,53.5,57.8,61.2,59.3,60.2,55.6,64.1,68.5,71.6,61.5,72.8,70.5,71.9,73.0,63.7,74.9,75.4,59.4,67.7,51.5,69.1,73.6,71.7,78.6,79.2,66.4,53.5,56.1,72.8,61.7,66.2
"CH",24.4,27.9,30.3,29.9,28.6,29.8,30.0,25.4,27.8,28.9,33.1,26.8,35.8,32.5,30.8,34.5,36.1,37.0,36.0,30.9,33.0,33.9,35.8,36.8,30.8,31.0,33.4,34.1,36.6,39.9,36.0,29.7,35.1,34.6,41.0,38.2,42.7,36.9,36.8,35.5,33.1,32.9,36.7
"TR",2.2,2.4,2.4,3.2,3.5,3.1,2.5,3.4,2.6,3.4,5.9,8.4,8.6,9.3,10.3,11.3,12.6,14.2,11.3,13.4,12.0,11.9,18.6,29.0,17.9,23.2,22.7,26.6,34.0,30.6,35.6,40.5,39.0,42.2,34.7,30.9,24.0,33.7,35.3,46.0,39.7,44.3,35.6
"TM","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na",0.6,0.1,0.8,1.0,0.1,0.7,0.7,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"UA","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na",10.7,10.7,9.6,11.9,10.1,10.7,11.9,8.1,11.2,12.3,10.2,8.8,10.0,15.9,14.5,11.5,12.2,9.8,9.2,11.9,12.4,12.8,10.1
"GB",4.7,4.5,5.3,4.5,4.4,5.7,4.3,4.3,4.6,4.8,5.0,5.1,5.2,5.2,5.5,5.1,5.4,5.6,6.5,6.1,6.9,7.0,6.3,7.1,6.7,7.2,6.2,7.1,5.7,6.6,6.4,4.9,5.7,6.7,8.2,7.8,6.5,7.4,6.0,7.5,7.9,8.5,9.4
"UZ","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na",5.4,4.6,6.8,7.2,5.5,6.7,6.0,6.3,7.4,7.2,6.2,6.5,5.8,5.8,5.7,5.9,5.4,7.3,7.6,6.9,6.1,6.1,6.1
"BP_OEE",94.6,106.4,103.8,121.2,133.7,143.3,146.1,145.4,143.7,158.1,150.6,162.2,177.8,191.6,208.9,214.7,215.0,201.3,204.7,231.8,58.8,60.3,63.3,71.3,65.5,65.0,65.6,64.5,64.5,67.7,66.6,74.2,67.3,68.9,74.3,70.3,68.1,66.7,70.8,75.7,76.3,73.5,76.5
"BP_TEE",396.8,429.8,426.6,455.1,460.7,486.3,494.1,506.0,507.0,542.8,541.1,530.4,621.1,630.4,668.3,658.0,673.3,654.6,673.8,706.1,716.8,699.1,746.1,791.7,712.3,734.6,740.9,768.3,793.4,799.0,807.4,769.1,787.8,818.4,834.2,859.5,863.2,809.3,776.8,825.8,829.6,815.8,833.7
"IR",1.7,1.8,2.0,2.1,2.3,2.5,2.7,3.5,3.0,3.3,3.4,3.8,4.0,6.2,5.4,5.6,6.1,6.4,6.3,5.9,5.6,7.1,8.2,7.5,7.5,6.4,6.9,8.8,9.7,8.0,8.3,7.8,5.9,7.5,5.1,3.8,4.1,8.0,9.6,11.9,13.0,17.5,18.1
"KW",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"QA",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
