title         = ASCII CSV version of Hydro consumption data from the 2009 British Petroleum Statistical Review (worksheet 36)
file URL      = http://mazamascience.com/OilExport/BP_2009_hydro_consumption_mtoe.csv
original data = http://www.bp.com/liveassets/bp_internet/globalbp/globalbp_uk_english/reports_and_publications/statistical_energy_review_2008/STAGING/local_assets/2009_downloads/statistical_review_of_world_energy_full_report_2009.xls
country codes = ISO3166-1 two-letter codes or 'BP_~~~' for special groups (e.g. BP_TNA = Total North America)
units         = million tonnes oil equivalent per year

"YEAR",1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
"SE",10.5,10.3,11.2,11.0,9.5,9.4,11.8,12.2,13.6,13.0,13.1,12.4,12.1,13.1,13.9,13.4,13.6,12.6,14.5,15.5,16.2,13.9,16.5,15.9,16.3,16.5,14.4,16.9,17.1,13.4,15.3,11.7,15.6,16.7,16.2,17.8,17.9,15.0,12.1,12.7,16.5,14.0,15.0,14.8
"CH",5.5,6.2,6.8,6.7,6.4,6.6,6.6,5.5,6.0,6.3,7.3,5.8,7.9,7.1,6.7,7.6,7.9,8.1,7.9,6.8,7.3,7.4,7.8,8.1,6.7,6.7,7.3,7.4,8.1,8.8,8.0,6.4,7.7,7.6,9.1,8.3,9.4,8.0,7.9,7.6,7.1,7.0,7.9,8.1
"TR",0.5,0.5,0.5,0.7,0.8,0.7,0.6,0.8,0.6,0.8,1.3,1.9,1.9,2.1,2.3,2.6,2.9,3.2,2.6,3.0,2.7,2.7,4.2,6.6,4.1,5.2,5.1,6.0,7.7,6.9,8.0,9.2,8.8,9.6,7.8,7.0,5.4,7.6,8.0,10.4,9.0,10.0,8.0,7.5
"TM","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na",0.1,0.0,0.2,0.2,0.0,0.2,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"UA","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na",2.4,2.4,2.2,2.7,2.3,2.4,2.7,1.8,2.5,2.8,2.3,2.0,2.3,3.6,3.3,2.6,2.8,2.2,2.1,2.7,2.8,2.9,2.3,2.6
"GB",1.0,1.0,1.1,0.8,0.7,1.0,0.8,0.8,0.9,0.9,0.9,1.0,0.9,0.9,1.0,0.9,1.0,1.0,1.0,1.0,0.9,1.1,0.9,1.1,1.1,1.2,1.0,1.2,1.0,1.2,1.1,0.8,0.9,1.2,1.2,1.2,0.9,1.1,0.7,1.1,1.1,1.0,1.2,1.1
"UZ","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na",1.2,1.0,1.5,1.6,1.2,1.5,1.4,1.4,1.7,1.6,1.4,1.5,1.3,1.3,1.3,1.3,1.2,1.6,1.7,1.6,1.4,1.4,1.4,1.4
"BP_OEE",21.4,24.1,23.5,27.4,30.3,32.4,33.0,32.9,32.5,35.8,34.1,36.7,40.2,43.4,47.3,48.6,48.7,45.5,46.3,52.4,13.3,13.7,14.3,16.1,14.8,14.7,14.8,14.6,14.6,15.3,15.1,16.8,15.2,15.6,16.8,15.9,15.4,15.1,16.0,17.2,17.4,16.6,16.3,17.0
"BP_TEE",89.1,96.5,95.7,102.0,103.1,108.8,110.1,112.7,113.0,121.1,121.0,118.2,138.8,140.7,149.1,146.8,149.9,145.8,149.5,156.7,158.7,155.0,165.8,176.0,157.6,162.6,163.6,169.6,175.9,177.3,178.4,169.3,173.9,180.1,183.2,188.6,189.4,176.3,168.9,179.7,180.2,177.2,179.6,180.2
"IR",0.4,0.4,0.5,0.5,0.5,0.6,0.6,0.8,0.7,0.7,0.8,0.9,0.9,1.4,1.2,1.3,1.4,1.4,1.4,1.3,1.3,1.6,1.9,1.7,1.7,1.4,1.6,2.0,2.2,1.8,1.9,1.8,1.3,1.7,1.2,0.9,0.9,1.8,2.2,2.7,3.0,4.2,4.1,1.7
